blockNumber,amount0,amount1
18911653,"2904027","1271803866762242"
18913147,"3468759","1509399131263681"
18914253,"576721993","248940243454244516"
18917019,"9999999999","4207288053371983002"
18917492,"100006544","41908437885621982"
18917592,"6902153461","2893214407162359454"
18919083,"1412221732985","585010562431987404885"
18920203,"234697565","97952123927477103"
18921348,"1404997327898","595711547161787634153"
18922432,"8527699187","3616035838795868725"
18923617,"47229350954","19959412837129314609"
18927893,"510963637","228529986579610209"
18927924,"50629565884","22604795357901487538"
18930781,"1906769797","862398066452917161"
18939970,"498824664","220843389054751773"
18945845,"9999999999","4431730954018446555"
18954093,"279684765911","124307496465163639603"
18955513,"308769023","137111445374702938"
18957339,"1273593423151","566722663022042560524"
18960190,"4040882748","1840012014748013308"
18964889,"49323266655","21053188375968161338"
18964912,"151940667","64864638747679458"
18965912,"1674683054","727947120277836508"
18977445,"1213810414215","498981645817447951423"
18978911,"6655307523458","2727134900317987720421"
18979194,"1257028555060","501457615598175780242"
18981339,"1171925622549","447894574517586681081"
18982040,"75392945","29210786421675945"
18992753,"1523764","587579924176159"
18993096,"3547486","1374248854210243"
18995947,"9999999999","3924657848757700918"
19009764,"472859061","188573707558602520"
19010331,"1840351679","732992178699080548"
19022860,"2979770342","1148998912290213279"
19024884,"135424697","52713881671850809"
19026237,"296191955","116366263002533821"
19037132,"6004867825","2433469853839139337"
19039160,"90355164","36759094941008659"
19044154,"9999999999","4019936895861174895"
19045186,"79613100","32142536940611477"
19050931,"3229626716","1308709662457505976"
19056274,"1319520040","534491027328677373"
19066045,"250473204","107902514572764815"
19078124,"10155211813","4539802945522444363"
19080930,"11069361","5003998889483278"
19083532,"24155402","10822085365277338"
19088711,"25018616","11249727991934646"
19101130,"9999999999","4407082785276842103"
19106491,"127854661","56288284159634802"
19109116,"163700800","72230958326627927"
19112338,"286695262","127442234574636224"
19115993,"49773239","21549755195078190"
19116512,"78000056","33601577977559708"
19131570,"714606721","316008693361410441"
19138972,"134280530252","58364718364670634734"
19147813,"29180368","12646795329046111"
19150680,"149941278","65116400989432269"
19152505,"2191172202","952395659736739911"
19155906,"4570081527","1985033762083321600"
19195436,"9999999999","3980929818980011809"
19202831,"36566094","14489661887669213"
19206634,"1775432508","708311228790188611"
19225192,"75263758","27781201733654079"
19228536,"474483598","171806880588699778"
19248135,"99282456685","36086078450335825821"
19254742,"1152262248","410874749972075068"
19277771,"814923678","280906576815157157"
19297558,"897967174","303581421402964635"
19311755,"9999999999","3280972375112579011"
19312979,"78173567","24765575127349255"
19312987,"3182849629949","1008485590829213453663"
19313108,"5404616331673","1711314074550230812164"
19316592,"6408361528008","1989843677715987663554"
19316612,"148445191880","46079272360071665305"
19330595,"204812421","59992100783482019"
19335568,"550857064","161638558615314863"
19369468,"242556009","64046431448668160"
19370581,"212668313","57924746363672391"
19377556,"6711226879","1755808569778271652"
19379701,"3377798585","885638984186464350"
19389385,"16865897893","4272566500229402508"
19407833,"1777945517","465639768786014846"
19414915,"12404180072","3051845239788131599"
19441403,"4811672616","1303256411724924546"
19449223,"232390074","64657970299292940"
19450307,"248265430","70190265178565770"
19465838,"55976837056","16317265715200295745"
19474925,"1497554435244","465261515285506763361"
19494022,"9999999999","3003540874116532335"
19496877,"46298202039","13826702608530750954"
19498362,"1604778147","471836815169017286"
19500136,"741355836","218585739420128952"
19501619,"47772789240","14274457478173039590"
19503342,"113169955","33731926747726928"
19504195,"11458063","3391115794000215"
19511246,"566666039","164832085141678966"
19529750,"353410278","101745376610449652"
19529916,"3468936","996999799491316"
19535032,"210566262","59046785032597595"
19539917,"7924715265","2239224678780345739"
19541101,"2267278898","649522712560537182"
19548814,"11092661090924","3171067802634722542435"
19551691,"9999999999","2828713729373173924"
19555857,"7471296472","2058900392802799251"
19556576,"29996644137","8252913583630769939"
19558285,"1980801946","548899591482834083"
19563271,"121210084","34787175666938595"
19565292,"1963099301","581730589887385625"
19577985,"274870490","83239250433691960"
19586079,"9999999999","3013400169028908290"
19598727,"261886690","77981973944127088"
19598796,"176051283","52383141248756098"
19599152,"223379606","66470447385718538"
19599990,"38994819","11551654272939359"
19602014,"15080360","4437581762458102"
19602124,"19706532","5805740545594490"
