blockNumber,amount0,amount1
18911089,"10000000","4386817515760059"
18913069,"24979369207","10861240053731415788"
18914202,"4632076","1999999946157598"
18917019,"10000000000","4207288053372013159"
18917461,"100000000","41911167606338412"
18926392,"2000000","844255156029662"
18941439,"2246589","999999960710410"
18945845,"10000000000","4431730954018447009"
18960241,"15340425","6983781224873179"
18961062,"15540516","6984348265989128"
18961395,"15524173","6964302981999326"
18968057,"16131969","6996352882654345"
18987911,"2025189","780816000000000"
18995947,"10000000000","3924657848757720583"
18999690,"9260925318815","3617914968004129663803"
19005559,"2832200000000","1117825471519200830640"
19014417,"54000000","21245781665806595"
19037328,"16570764","6718650000000000"
19038792,"11789000000","4796206657283471042"
19044154,"10000000000","4019936895861180075"
19051681,"9857624211","3997891380132489005"
19069053,"68000107","30555798360438397"
19080613,"11078146","4999999990456616"
19088470,"25040203","11239972935687000"
19101130,"10000000000","4407082785276851586"
19109742,"1136873","500000000000000"
19109752,"1136850","500000000000000"
19112631,"10997","4897759252595"
19115399,"49850050","21515990944517376"
19116503,"78002246","33600630973814467"
19129389,"990693978","435961011697785062"
19131353,"11175745","4951669473010893"
19140526,"45670613","19763952168746016"
19142560,"999999","436228709837440"
19158514,"180000000","78673607233911917"
19180043,"10000000","4114077481153568"
19182625,"60585099","25000000000000000"
19195436,"10000000000","3980929818980042798"
19222023,"99996890","38018043194646510"
19232694,"99999999999","35800355435568607494"
19258976,"20058542268","6961442840990659237"
19290789,"12000000000","4085316689458796619"
19311755,"10000000000","3280972375112610525"
19358842,"519402962","149000000000000000"
19427297,"397377513","99918257946846350"
19451407,"500000000","141229558033551590"
19453727,"99985763","28088425836812669"
19453729,"99985763","28088425836812669"
19453730,"3559678410","999999999910736129"
19473570,"4078615231","1304621229386308607"
19474975,"1497554435244","464960328215756587698"
19479203,"371306516","105311195198509999"
19491575,"5000000","1504695310216803"
19494022,"10000000000","3003540874116556024"
19520766,"1000000","280367269927829"
19520850,"1000000","280276988659745"
19527754,"4977511","1430862507624909"
19529916,"3468937","996999799520052"
19539233,"54992000000","15515855188718490647"
19548860,"11092473907610","3168558615269248061089"
19551691,"10000000000","2828713729373187495"
19554647,"102617684","28257266192535005"
19555122,"1985525256","547456971378165031"
19574715,"260748332","78147767268081682"
19586079,"10000000000","3013400169028924637"
19637154,"10000000000","2830997251469188429"
19638905,"54894425","15600075678371908"
19639840,"694304","200000000000000"
19644540,"974338738","298841852686771053"
19645341,"100","30713889509"
19657230,"31902165433","10125638460842824069"
19657387,"3171194015","1015301846094653883"
19665918,"10000000000","3292579122517935610"
19672014,"82187915568","26669250005783667000"
19682521,"30249374","9996509497019408"
19687133,"10000000000","3334234173840179954"
19700057,"150000","47626667372327"
19700147,"100000","31791845779961"
19707533,"7764969847581","2462301649709673660445"
19710114,"10000000000","3113943279433798288"
19728432,"7764969847581","2487977179075309140584"
19729438,"5000000","1584560823720109"
19742905,"7764969847581","2485105734679891842726"
