blockNumber,reserve0,reserve1
18908895,"52034452364125","22864731471058335602880"
18908896,"52036852364125","22863680086615420397054"
18908897,"52036852364125","22863680086615420397054"
18908898,"52036852364125","22863680086615420397054"
18908899,"52036852364125","22863680086615420397054"
18908900,"52036846392120","22863682718459860845254"
18908901,"52036909359414","22863655135245158264042"
18908902,"52036909359414","22863655135245158264042"
18908903,"52036909359414","22863655135245158264042"
18908904,"52036909359414","22863655135245158264042"
18908905,"52036909359414","22863655135245158264042"
18908906,"52036909359414","22863655135245158264042"
18908907,"52036909359414","22863655135245158264042"
18908908,"52036909359414","22863655135245158264042"
18908909,"52036909359414","22863655135245158264042"
18908910,"52041511466008","22861639334012598201049"
18908911,"52041511466008","22861639334012598201049"
18908912,"52067995927463","22850045596217787941433"
18908913,"52067995927463","22850045596217787941433"
18908914,"52067995927463","22850045596217787941433"
18908915,"52067995927463","22850045596217787941433"
18908916,"52067995927463","22850045596217787941433"
18908917,"52084609310314","22842779031675942411833"
18908918,"52084609310314","22842779031675942411833"
18908919,"52084609310314","22842779031675942411833"
18908920,"52084609310314","22842779031675942411833"
18908921,"52101376399804","22835449891938854872364"
18908922,"52101376399804","22835449891938854872364"
18908923,"52101376399804","22835449891938854872364"
18908924,"52101376399804","22835449891938854872364"
18908925,"52123630209315","22825729696479774892939"
18908926,"52125679145144","22824835163210926519973"
18908927,"52125679145144","22824835163210926519973"
18908928,"52125679145144","22824835163210926519973"
18908929,"52125679145144","22824835163210926519973"
18908930,"52125679145144","22824835163210926519973"
18908931,"52125679145144","22824835163210926519973"
18908932,"52125679145144","22824835163210926519973"
18908933,"52125679145144","22824835163210926519973"
18908934,"52125679145144","22824835163210926519973"
18908935,"52125679145144","22824835163210926519973"
18908936,"52125679145144","22824835163210926519973"
18908937,"52125679145144","22824835163210926519973"
18908938,"52125679145144","22824835163210926519973"
18908939,"52125679145144","22824835163210926519973"
18908940,"52126230147080","22824594616385634064746"
18908941,"52126186752603","22824613674784768098138"
18908942,"52126186752603","22824613674784768098138"
18908943,"52126186752603","22824613674784768098138"
18908944,"52126186752603","22824613674784768098138"
18908945,"52142185607665","22817631372185546784769"
18908946,"52154906669998","22812082633865819926770"
18908947,"52154906669998","22812082633865819926770"
18908948,"52154895372599","22812087590115819926770"
18908949,"52154895372599","22812087590115819926770"
18908950,"52169311918613","22805802570188440803068"
18908951,"52169311918613","22805802570188440803068"
18908952,"52169311918613","22805802570188440803068"
18908953,"52169311918613","22805802570188440803068"
18908954,"52169261049883","22805825084524463978256"
18908955,"52169261049883","22805825084524463978256"
18908956,"52169261049883","22805825084524463978256"
18908957,"52169261049883","22805825084524463978256"
18908958,"52169261049883","22805825084524463978256"
18908959,"52169261049883","22805825084524463978256"
18908960,"52169261049883","22805825084524463978256"
18908961,"52169261049883","22805825084524463978256"
18908962,"52169261049883","22805825084524463978256"
18908963,"52169261049883","22805825084524463978256"
18908964,"52169261049883","22805825084524463978256"
18908965,"52169261049883","22805825084524463978256"
18908966,"52170261049883","22805389253680239854608"
18908967,"52187979565832","22797669778449323839504"
18908968,"52187979565832","22797669778449323839504"
18908969,"52187979565832","22797669778449323839504"
18908970,"52188979565832","22797234259719799743418"
18908971,"52188979565832","22797234259719799743418"
18908972,"52189464737361","22797022964439060826004"
18908973,"52189464737361","22797022964439060826004"
18908974,"52189464737361","22797022964439060826004"
18908975,"52189464737361","22797022964439060826004"
18908976,"52189464737361","22797022964439060826004"
18908977,"52189464737361","22797022964439060826004"
18908978,"52189464737361","22797022964439060826004"
18908979,"52189464737361","22797022964439060826004"
18908980,"52189464737361","22797022964439060826004"
18908981,"52189464737361","22797022964439060826004"
18908982,"52189464737361","22797022964439060826004"
18908983,"52193892182473","22795094964981865551691"
18908984,"52193892182473","22795094964981865551691"
18908985,"52193892182473","22795094964981865551691"
18908986,"52193892182473","22795094964981865551691"
18908987,"52193892182473","22795094964981865551691"
18908988,"52193892182473","22795094964981865551691"
18908989,"52193892182473","22795094964981865551691"
18908990,"52193824296926","22795124702481865551691"
18908991,"52193824296926","22795124702481865551691"
18908992,"52193824296926","22795124702481865551691"
18908993,"52193824296926","22795124702481865551691"
18908994,"52193732984152","22795164702481865551691"
18908995,"52193637497020","22795206531229406042518"
18908996,"52193421219312","22795301273626142979952"
18908997,"52193421219312","22795301273626142979952"
18908998,"52193421219312","22795301273626142979952"
18908999,"52193421219312","22795301273626142979952"
18909000,"52193421219312","22795301273626142979952"
18909001,"52192906340216","22795526824211130854479"
18909002,"52192906340216","22795526824211130854479"
18909003,"52189962926155","22796816316790447741067"
18909004,"52189962926155","22796816316790447741067"
18909005,"52189962926155","22796816316790447741067"
18909006,"52189962926155","22796816316790447741067"
18909007,"52189962926155","22796816316790447741067"
18909008,"52189962926155","22796816316790447741067"
18909009,"52189951613591","22796821273040447741067"
18909010,"52189951613591","22796821273040447741067"
18909011,"52189951613591","22796821273040447741067"
18909012,"52189951613591","22796821273040447741067"
18909013,"52189951613591","22796821273040447741067"
18909014,"52189951613591","22796821273040447741067"
18909015,"52189951613591","22796821273040447741067"
18909016,"52189951613591","22796821273040447741067"
18909017,"52189951613591","22796821273040447741067"
18909018,"52189951613591","22796821273040447741067"
18909019,"52189707779726","22796928101826812412755"
18909020,"52189683454548","22796938759258063380670"
18909021,"52189683454548","22796938759258063380670"
18909022,"52189683454548","22796938759258063380670"
18909023,"52189683454548","22796938759258063380670"
18909024,"52189683454548","22796938759258063380670"
18909025,"52189683454548","22796938759258063380670"
18909026,"52189683454548","22796938759258063380670"
18909027,"52189683454548","22796938759258063380670"
18909028,"52188799623333","22797325993186783085628"
18909029,"52188799623333","22797325993186783085628"
18909030,"52188799623333","22797325993186783085628"
18909031,"52188736872143","22797353486933859437103"
18909032,"52188736872143","22797353486933859437103"
18909033,"52188736872143","22797353486933859437103"
18909034,"52188736872143","22797353486933859437103"
18909035,"52188736872143","22797353486933859437103"
18909036,"52188736872143","22797353486933859437103"
18909037,"52188736872143","22797353486933859437103"
18909038,"52188736872143","22797353486933859437103"
18909039,"52188736872143","22797353486933859437103"
18909040,"52188736872143","22797353486933859437103"
18909041,"52188645613714","22797393470933859437103"
18909042,"52188645613714","22797393470933859437103"
18909043,"52189343780029","22797089412239840059504"
18909044,"52189343780029","22797089412239840059504"
18909045,"52189343780029","22797089412239840059504"
18909046,"52189343780029","22797089412239840059504"
18909047,"52189343780029","22797089412239840059504"
18909048,"52189157425278","22797171090261940975573"
18909049,"52189157425278","22797171090261940975573"
18909050,"52189157425278","22797171090261940975573"
18909051,"52189157425278","22797171090261940975573"
18909052,"52189157425278","22797171090261940975573"
18909053,"52189157425278","22797171090261940975573"
18909054,"52189157425278","22797171090261940975573"
18909055,"52189169256567","22797165937645721821459"
18909056,"52189169256567","22797165937645721821459"
18909057,"52189169256567","22797165937645721821459"
18909058,"52188626561411","22797404603577799817949"
18909059,"52188626561411","22797404603577799817949"
18909060,"52188626561411","22797404603577799817949"
18909061,"52188626561411","22797404603577799817949"
18909062,"52188626561411","22797404603577799817949"
18909063,"52188626561411","22797404603577799817949"
18909064,"52188626561411","22797404603577799817949"
18909065,"52188626561411","22797404603577799817949"
18909066,"52188020764959","22797670031219408981296"
18909067,"52188020764959","22797670031219408981296"
18909068,"52188020764959","22797670031219408981296"
18909069,"52187440499861","22797924278172333537877"
18909070,"52187440499861","22797924278172333537877"
18909071,"52187440499861","22797924278172333537877"
18909072,"52187440499861","22797924278172333537877"
18909073,"52191440499861","22796182265649691177056"
18909074,"52191440499861","22796182265649691177056"
18909075,"52191440499861","22796182265649691177056"
18909076,"52191085447773","22796337813031053591062"
18909077,"52191085447773","22796337813031053591062"
18909078,"52191085447773","22796337813031053591062"
18909079,"52191085447773","22796337813031053591062"
18909080,"52191085447773","22796337813031053591062"
18909081,"52191085447773","22796337813031053591062"
18909082,"52191085447773","22796337813031053591062"
18909083,"52191085447773","22796337813031053591062"
18909084,"52191073704314","22796342957845742679086"
18909085,"52191073704314","22796342957845742679086"
18909086,"52191073704314","22796342957845742679086"
18909087,"52190709504723","22796502514998421475303"
18909088,"52190709504723","22796502514998421475303"
18909089,"52191709504723","22796067041346963140939"
18909090,"52191709504723","22796067041346963140939"
18909091,"52191709504723","22796067041346963140939"
18909092,"52191709504723","22796067041346963140939"
18909093,"52191209504723","22796286088397619737673"
18909094,"52191209504723","22796286088397619737673"
18909095,"52191346073013","22796226616659143428347"
18909096,"52191346073013","22796226616659143428347"
